system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,id,mean,month,pentad,year,.geo,system:time_start,date
20220101_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.12963964190854824,1.0,1.0,2022,null,1640995200000,2022-01-01
20220101_000000000000000000000002,217,Senegal,2644,Thies,25344,Thies,NO,3000,Member State,1000,0.133993026579,1.93938437106,2,0.1384980061619952,1.0,1.0,2022,null,1640995200000,2022-01-01
20220106_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.08490015641655975,1.0,2.0,2022,null,1641427200000,2022-01-06
20220106_000000000000000000000002,217,Senegal,2644,Thies,25344,Thies,NO,3000,Member State,1000,0.133993026579,1.93938437106,2,0.09914221723532675,1.0,2.0,2022,null,1641427200000,2022-01-06
20220111_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.06817427524315416,1.0,3.0,2022,null,1641859200000,2022-01-11
20220111_000000000000000000000002,217,Senegal,2644,Thies,25344,Thies,NO,3000,Member State,1000,0.133993026579,1.93938437106,2,0.08461221144341814,1.0,3.0,2022,null,1641859200000,2022-01-11
20220116_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.06623562716989109,1.0,4.0,2022,null,1642291200000,2022-01-16
20220116_000000000000000000000002,217,Senegal,2644,Thies,25344,Thies,NO,3000,Member State,1000,0.133993026579,1.93938437106,2,0.0840721888559347,1.0,4.0,2022,null,1642291200000,2022-01-16
20220121_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.17362968950502336,1.0,5.0,2022,null,1642723200000,2022-01-21
20220121_000000000000000000000002,217,Senegal,2644,Thies,25344,Thies,NO,3000,Member State,1000,0.133993026579,1.93938437106,2,0.1929308926932147,1.0,5.0,2022,null,1642723200000,2022-01-21
20220126_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.2595529456612885,1.0,6.0,2022,null,1643155200000,2022-01-26
20220126_000000000000000000000002,217,Senegal,2644,Thies,25344,Thies,NO,3000,Member State,1000,0.133993026579,1.93938437106,2,0.20462670077786194,1.0,6.0,2022,null,1643155200000,2022-01-26
20220201_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.15435695574488695,2.0,1.0,2022,null,1643673600000,2022-02-01
20220201_000000000000000000000002,217,Senegal,2644,Thies,25344,Thies,NO,3000,Member State,1000,0.133993026579,1.93938437106,2,0.09278717728770129,2.0,1.0,2022,null,1643673600000,2022-02-01
20220206_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.17818129299789348,2.0,2.0,2022,null,1644105600000,2022-02-06
20220206_000000000000000000000002,217,Senegal,2644,Thies,25344,Thies,NO,3000,Member State,1000,0.133993026579,1.93938437106,2,0.09080235592771639,2.0,2.0,2022,null,1644105600000,2022-02-06
20220211_000000000000000000000000,217,Senegal,2636,Dakar,1382,Dakar,NO,3000,Member State,2008,0.0149003196744,1.04662174383,0,0.1902473459961594,2.0,3.0,2022,null,1644537600000,2022-02-11
